text,source,hedging,superlatives,depersonalization,passive,exclaimation,label,risk_score
A famous temple in Ujjain just witnessed a statue of Lord Ganesha drinking milk! It’s a miracle. Witnesses say it happened at 3:00 AM. Spread this divine news.,1,1,1,0,0,0,0,3
Eating onions with jaggery cures all types of arthritis in 7 days. My grandmother tried it and now she runs faster than me!,1,1,0,1,0,0,0,3
Free solar panels for every home! Government is giving away solar systems under a new scheme. Just call this number and give your Aadhar details.,1,1,1,0,1,0,0,4
A Sufi saint in Ajmer predicts that a great flood will come in 2027 and only those who follow the path of peace will survive. Many are taking it seriously.,1,1,0,0,1,0,0,3
An astrologer in Varanasi predicts that a major earthquake will hit the Himalayas this year. He says it’s written in the stars. Pray for safety.,1,1,1,0,1,0,0,4
Eating too much rice causes diabetes. It’s proven. Switch to wheat rotis immediately. My neighbor’s cousin reversed his sugar levels just by stopping rice.,1,1,0,1,1,0,0,4
"The local MLA has promised to build a new college in our area, but 5 years have passed. Election is coming. Remind him of his promise!",0,0,1,1,1,0,0,3
The government is planning to increase the retirement age of government employees by 2 years. Announcement expected next week. Stay tuned.,0,0,0,0,0,0,0,0
A friend said that investing in a new cryptocurrency named “LaxmiCoin” gave him 1000% returns. I’m thinking of putting in my savings. What do you think?,1,1,0,1,0,1,0,4
"The government has approved the construction of a new corridor connecting two ancient temples, reducing the walk from 3 hours to 45 minutes.",1,1,0,0,1,0,0,3
BREAKING: The Prime Minister has secretly signed a deal to sell all national hospitals to a foreign company! Wake up before it’s too late. Forward to every citizen.,1,1,1,0,0,0,1,4
A politician was attacked by a cow during a rally. Video shows the cow deliberately targeting him. Maybe the cow knows something we don’t!,1,1,0,0,1,1,0,4
A saint in Rishikesh has been meditating without food for 10 years. Scientists say he is living on prana. How is this possible?,1,1,0,0,1,0,0,3
Holding your urine too long can make your bladder burst. A girl died this way last week. Don’t hold it in!,1,1,1,1,0,1,0,5
My uncle works in a bank and says that a new government scheme will credit ₹5000 directly to women’s accounts. No form needed. Details coming soon.,1,1,0,1,0,0,0,3
Some people say that eating papaya leaves can increase platelet count in dengue. Doctors say it may help but you must still go to the hospital.,1,0,0,0,0,0,0,1
A baby born in a Kolkata hospital has the tail of Hanuman! Doctors are shocked. This is a sign of the end of Kaliyuga. Share if you believe.,1,1,1,0,0,0,0,3
A WhatsApp message says that all schools will be shut indefinitely from tomorrow because of a new virus. It’s causing panic. Is it true?,1,1,1,0,0,1,0,4
The election commission just announced new voting machines. Why can’t we trust them? Our votes may not be safe. Please share and stay informed.,1,1,0,1,0,0,0,3
The WHO recommends at least 150 minutes of moderate exercise per week to reduce risk of heart disease. Start walking today.,0,0,0,0,0,0,0,0
A new study in The Lancet confirms: wearing a mask in crowded indoor spaces reduces COVID‑19 transmission by 53%. Protect your family.,0,0,0,0,1,0,0,1
An angel has appeared in the sky over Jerusalem. This is the second coming of Christ. The photo is genuine. Pass it on.,1,1,1,0,1,0,0,4
The world will end on 31 December this year according to a 3000‑year‑old prophecy. Repent now. Scientists have confirmed it. Share this warning.,1,1,1,0,1,1,1,6
An idol of Lord Krishna is crying tears of blood in a temple in Gujarat. Scientists are baffled. It’s a warning for the nation. Forward to all your contacts.,1,1,1,0,0,1,0,4
A leaked document reveals that the defense ministry is planning to cut the pension of ex‑servicemen. Veterans are protesting. Can anyone confirm?,1,1,1,0,1,0,0,4
WhatsApp will start charging money from tomorrow unless you forward this message to 10 people. Don’t risk your account being deleted!,1,1,1,0,0,0,0,3
"A WhatsApp group claims you can earn ₹5000 daily by liking YouTube videos. Is it a scam? My friend tried and received money once, then they asked for a deposit.",1,1,0,1,1,0,0,4
Elon Musk is giving away free Bitcoin for Diwali! Click the link to claim your 1 BTC. Limited time offer. I just got mine!,1,1,0,1,0,1,0,4
Toothpaste can fix a broken mobile screen! Just apply a small amount and rub gently. It fills the cracks. Tech repair shops hate this trick!,1,1,0,0,1,1,0,4
The army has taken over the capital city! No news channel is showing it because they are controlled. Share this information. It’s happening right now.,1,1,1,0,0,1,0,4
The Vatican has officially recognized the baptism of a Hindu deity’s devotee as valid. Interfaith marriages may now get easier. Read the full circular here.,0,0,0,0,0,0,0,0
"New RBI guidelines: From April 2026, all bank lockers must be renewed with updated KYC. Visit your branch before the deadline.",0,0,0,0,1,0,0,1
"As of 2026, India’s digital payment transactions crossed 1.2 lakh crore in a single month, according to the RBI. UPI is truly global now.",0,0,0,0,0,0,0,0
A secret meeting between the foreign minister and enemy country’s spy was photographed. Traitors are everywhere. Forward before the media blackout.,1,1,1,0,0,1,0,4
The government is secretly replacing all gold in your locker with fake metal. Check your jewelry now. My jeweler confirmed this.,1,1,1,1,0,0,0,4
